WATER QUALITY DATA 2012 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,9,26,18,6.5,9.6,8.3,7.3,9,8.3,140,350,279,0.2,1.6,0.7,0.07,0.81,0.51,,,,,,
1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,12,25,18,6.7,9.6,8.2,7.4,8.9,8.3,141,368,257,0.4,4,1,0.11,1.8,0.65,,,,,,
1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,5,25,18,3.8,9.7,7.3,6.7,8.8,7.6,158,230,188,0.4,1.2,0.6,0.09,1.03,0.48,,,,,,
2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,2,12,7,6.6,9.7,8.6,7.1,8.7,7.7,53,123,83,0.1,0.8,0.2,0.04,1.45,0.55,17,110,45,70,350,187
2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,3,13,8,6.1,9.8,8.5,7.4,8.4,7.8,49,163,97,0.1,0.2,0.2,0.13,1.56,0.64,33,170,74,140,920,311
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,6,26,14,7.3,9.9,8.8,7.6,8.3,7.9,65,155,109,0.1,0.2,0.1,0.23,1.49,0.88,23,70,41,110,280,185
1693,BEAS AT TALWARA H/W,PUNJAB,12,25,19,7.4,7.8,7.6,7,7.5,7.2,273,286,280,0.3,0.6,0.5,1.1,1.6,1.33,11,90,60,50,500,215
1694,BEAS AT U/S PATHANKOT,PUNJAB,13,25,19,6.8,7.8,7.3,7.1,7.6,7.3,258,302,274,0.7,0.8,0.8,0.9,1.8,1.35,100,130,113,500,500,500
1695,BEAS AT D/S PATHANKOT,PUNJAB,11,25,19,6.4,7.6,7,6.9,7.6,7.3,308,513,411,1,1.4,1.2,1.4,2.5,1.88,120,170,143,500,700,575
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,13,25,19,6.7,7.4,7.1,7.1,7.5,7.3,252,326,286,0.6,1,0.8,1.4,2.9,2.13,110,130,123,500,700,550
1294,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,PUNJAB,13,25,19,6.8,7.2,7,7,7.6,7.3,275,338,304,1.1,1.2,1.2,1.8,3,2.45,300,800,600,900,1300,1100
1011,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,PUNJAB,9,25,18,7.2,7.5,7.3,7,7.4,7.3,268,342,296,0.4,1.2,0.8,1,3.5,2.43,120,700,413,500,1200,875
1696,BEAS AT U/S GOINDWAL,PUNJAB,10,25,18,6.6,7.4,7.1,7,7.6,7.2,280,331,301,0.5,1,0.7,1.8,3.4,2.8,130,600,360,600,1100,850
1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,9,25,18,6.8,7.4,7.2,7.2,7.5,7.4,272,356,302,0.6,1.4,0.9,1.9,5.1,3.5,210,900,578,900,1300,1100
1697,"BEAS AT HARIKE,",PUNJAB,13,25,20,7,7.8,7.5,7,7.5,7.2,265,340,292,0.3,1,0.6,1.4,3,2.25,100,130,113,500,800,600
,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER SATLUJ - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION  CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,,,
WATER QUALITY CRITERIA,,,> 4 mg/l,6.5-8.5,,< 3 mg/l,,< 2500 MPN/100ml,< 5000 MPN/100ml,,,,,,,,,,,,,,,,,
1867,"SATLUJ B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",HIMACHAL PRADESH,2,8,6,8.5,10.4,9.3,7.9,8.6,8.3,151,395,292,0.1,0.6,0.1,0.06,0.73,0.34,4,33,17,27,94,61
2611,SATLUJ AT KHAB,HIMACHAL PRADESH,2,7,6,8.7,10.6,9.3,7.9,8.6,8.3,156,431,271,0.1,0.2,0.1,0.14,0.93,0.42,12,34,21,33,94,59
1389,SATLUJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,6,11,8,8,9.8,8.8,7.6,8.4,8.2,73,352,225,0.1,0.3,0.2,0.12,0.93,0.41,21,49,33,79,220,139
1086,SATLUJ AT U/S RAMPUR,HIMACHAL PRADESH,6,12,8,8,9.6,8.8,7.6,8.6,8.2,102,349,237,0.1,0.2,0.1,0.21,0.7,0.35,23,170,49,94,1600,344
1087,SATLUJ AT D/S RAMPUR,HIMACHAL PRADESH,6,12,8,8,9.5,8.8,7.9,8.6,8.3,181,374,254,0.1,0.4,0.2,0.13,1.43,0.53,33,170,90,140,1600,438
1013,SATLUJ AT U/S TATAPANI,HIMACHAL PRADESH,8,14,9,8.4,9.5,8.9,7.7,8.4,8.2,163,374,292,0.1,1,0.4,0.1,2.28,0.65,26,94,51,130,350,202
1014,SATLUJ AT U/S SLAPPER,HIMACHAL PRADESH,7,22,13,7.8,11,9.6,7.6,8.5,8.2,108,292,221,0.1,0.4,0.1,0.3,1.44,0.58,27,130,59,130,350,244
1015,SATLUJ AT D/S SLAPPER,HIMACHAL PRADESH,6,19,12,7.9,11.5,9.9,8.1,8.5,8.3,165,283,197,0.1,0.2,0.1,0.31,1.13,0.62,26,140,50,110,350,197
1016,SATLUJ AT D/S BHAKHRA,HIMACHAL PRADESH,12,20,16,6.8,9.8,8.7,7.9,8.7,8.3,162,245,203,0.3,2.9,0.9,0.3,0.56,0.4,,,,,,
1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,17,23,19,7.6,8.4,7.9,7.1,7.5,7.3,228,256,240,0,1,0.7,1.3,1.8,1.53,33,50,43,50,500,338
1018,"SATLUJ AT 100M D/S ,NANGAL",PUNJAB,17,24,20,7.4,7.8,7.6,7.6,7.9,7.8,254,293,273,1.2,2.7,2,1.9,2.5,2.25,27,500,242,110,900,603
1293,SATLUJ AT 1 KM. D/S OF ZENITH,PUNJAB,18,26,22,6,7.4,6.5,7.6,7.9,7.8,457,664,582,8,25,13.9,2.6,5.8,3.7,600,7000,3425,1300,11000,6275
1814,SATLUJ AT D/S KIRATPUR SAHIB,PUNJAB,18,28,22,7.2,7.6,7.4,7.2,7.8,7.4,258,277,265,0.8,1.2,1,1.6,2.1,1.78,40,50,45,110,500,328
1019,SATLUJ AT U/S HEAD WORKS ROPAR,PUNJAB,18,24,21,6.8,8,7.3,7.2,7.8,7.5,292,402,346,2,4.2,2.8,2,4.2,3.05,130,3000,1158,500,5000,2325
1380,"SATLUJ AT D/S NFL, PUNJAB",PUNJAB,17,24,20,7.2,7.8,7.4,7.6,7.9,7.8,254,454,316,1.4,2,1.8,2.3,2.9,2.63,26,300,107,130,1100,558
1690,SATLUJ AT U/S BUDHA NALLAH (UPPER),PUNJAB,16,24,20,6.8,7.4,7,7.1,7.5,7.4,288,374,329,1.6,2,1.8,2.2,3,2.75,50,2500,1488,500,3000,2125
1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL.,LUDHIANA",PUNJAB,16,28,22,4.2,4.2,4.2,6.9,7.9,7.2,352,619,497,14,27,18,5.4,10,6.8,30000,70000,55000,80000,100000,90000
1021,"SATLUJ AT BOAT BDG. DHARM- KOTNAKODAR RD, JALANDHAR",PUNJAB,17,269,102,6,6.4,6.3,7.2,7.3,7.3,316,442,370,1.8,2.8,2.2,3.2,3.8,3.5,1100,10000,4050,2500,22000,9500
1381,SATLUJ AT D/S EAST BEIN,PUNJAB,12,25,19,4,5.4,4.4,6.8,7.6,7.2,408,542,497,4.4,4.9,4.8,3.6,5.3,4.3,23000,35000,28750,50000,50000,50000
1691,SATLUJ AT U/S HUSSANIWALA - H/W FEROZEPUR,PUNJAB,14,22,19,6.8,7.2,7,7.1,7.4,7.3,257,288,275,1.6,2.6,2.1,2.8,3.4,2.95,50,140,95,400,500,475
1692,SATLUJ AT D/S HUSSANIWALA-H/W FEROZEPUR,PUNJAB,15,22,19,6.6,7,6.9,7.2,7.3,7.3,278,294,286,1.8,2.4,2.1,2.8,3.5,3.13,70,210,128,500,700,550
1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,13,35,23,4.3,6,4.9,7,7.7,7.3,316,518,430,2.4,2.9,2.7,2.6,3.7,3.13,110,700,453,700,1300,1025
,,,,,,,,,,,,,,,,,,,,,,,,,,
" WATER QUALITY OF TRIBUTARY STREAMS RAVI, PARVATI, LARGI, SIRSA, SWAN, SIUEL, SUKETIKHAD, BINWA, NEUGAL,SPITI & BASPA IN HIMACHAL PRADESH AND PUNJAB - 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,,,
WATER QUALITY CRITERIA,,,> 4 mg/l,6.5-8.5,,< 3 mg/l,,< 2500 MPN/100ml,< 5000 MPN/100ml,,,,,,,,,,,,,,,,,
1088,RAVI AT U/S MADHOPUR,HIMACHAL PRADESH,12,22,17,6,9.9,8.2,7.6,8.6,8.3,130,241,177,0.2,0.8,0.5,0.39,2.79,0.81,,,,,,
1089,RAVI AT U/S CHAMBA,HIMACHAL PRADESH,6,16,11,8.7,17,11,6.9,8.7,7.8,105,192,134,0.2,0.9,0.5,0.45,1.41,0.85,,,,,,
2614,RAVI AT CHAMERA RESERVOIR,HIMACHAL PRADESH,8,21,14,8.4,16,10.3,7.3,8.6,8.1,115,216,159,0.3,1.1,0.6,0.54,1.1,0.7,,,,,,
2615,RAVI AT AT D/S CHAMERA III HEP,HIMACHAL PRADESH,7,15,11,8,17,10.7,7.4,8.5,8.1,97,182,142,0.3,1.1,0.5,0.18,0.69,0.51,,,,,,
2613,RAVI AT D/S OF CHAMBA TOWN,HIMACHAL PRADESH,5,17,11,8.6,18,10.9,7.2,8.5,7.9,96,202,165,0.3,1,0.6,0.53,1.02,0.72,,,,,,
1097,"RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR",PUNJAB,10,25,18,7.4,8,7.8,6.8,7.5,7.2,185,262,208,0.2,0.3,0.2,1,1.6,1.3,30,30,30,50,70,55
1290,PARVATI BEFORE CONF. TO BEAS,HIMACHAL PRADESH,3,12,8,7.2,9.9,8.8,7.1,8.4,7.7,49,137,78,0.1,0.6,0.3,0.13,1.16,0.53,34,170,78,130,920,393
2605,PARVATI AT U/S MANIKARAN,HIMACHAL PRADESH,2,13,7,6.6,10.7,9,6.6,8.5,7.6,33,98,62,0.1,0.2,0.1,0.22,0.88,0.43,2,46,19,8,180,73
2606,PARVATI AT D/S MANIKARAN,HIMACHAL PRADESH,2,12,7,7.4,10.5,8.8,6.5,8.3,7.6,34,103,65,0.1,0.2,0.1,0.15,0.56,0.32,5,46,21,13,220,97
1090,LARGI AT D/S,HIMACHAL PRADESH,4,17,10,7.3,11,8.7,6.5,8.8,7.8,62,263,104,0.1,0.2,0.1,0.09,0.92,0.41,9,49,33,79,180,124
1551,SIRSA AT U/S SITOMAJRI NALLAHGARH,HIMACHAL PRADESH,19,28,23,2.5,10.1,8.2,7.5,8.3,7.8,250,855,430,0.4,4.5,1.5,0.03,6.67,2.24,12,288,50,22,368,84
1552,SIRSA AT D/S NALAGARH BRIDGE,HIMACHAL PRADESH,14,31,24,5.6,8.6,6.6,7.2,8.2,7.9,460,1357,787,0.7,7.5,2.7,0.06,7.93,3.75,14,142,54,20,250,88
1868,"SIRSA AT D/S NALAGARH, SOLAN",HIMACHAL PRADESH,15,29,24,3.9,11.7,6.6,7.5,8.2,7.9,477,1354,794,0.2,4,2.1,0,8.44,3.74,12,92,45,22,182,87
1869,"SWAN AT D/S NANGAL, UNA",HIMACHAL PRADESH,11,23,19,5.4,9.5,7.6,7.5,8.7,8.3,461,696,535,0.5,9,2.1,0.36,4.34,1.34,,,,,,
2616,SIUEL AT D/S SURGANI,HIMACHAL PRADESH,6,19,12,8.1,17,10.6,7.2,8.7,8.2,107,256,158,0.2,0.9,0.6,0.48,1.08,0.71,,,,,,
2607,SUKETI KHAD  AT D/S MANDI,HIMACHAL PRADESH,10,27,19,6.7,11.7,8.5,7.7,8.7,8.3,182,451,276,0.1,1.2,0.6,0.4,1.31,0.91,350,2400,1162,1600,2400,2031
2608,BINWA AT D/S PAPROLA/ BAIJNATH,HIMACHAL PRADESH,8,22,15,6,9.6,7.7,7.5,8.3,7.9,73,731,174,0.3,4.1,0.8,0.19,1.14,0.7,,,,,,
2609,NEUGAL AT D/S THURAL,HIMACHAL PRADESH,9,27,18,6.3,9.5,7.8,7.5,8.6,8.1,75,179,125,0.2,1.2,0.7,0.51,1.47,0.8,,,,,,
2610,SPITI AT KHAB,HIMACHAL PRADESH,3,8,6,8.1,10.9,9.2,7.3,8.5,8.1,75,347,193,0.1,0.2,0.1,0.05,1.4,0.38,9,23,13,21,79,41
2612,BASPA AT U/S RESERVOIR BASPA PROJECT,HIMACHAL PRADESH,4,9,6,8.4,9.6,8.9,7.8,8.5,8.1,88,356,184,0.1,0.2,0.1,0.09,0.41,0.26,6,33,20,33,94,55
,,,,,,,,,,,,,,,,,,,,,,,,,,
"WATER QUALITY OF TRIBUTARY STREAMS CHUNT KOL, GAWKADAL, JHELUM, BANGANGA, BASANTER, CHENAB, DEVAK, LIDDER, SINDH, TAWI & UJH IN JAMMU & KASHMIR - 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,,,
WATER QUALITY CRITERIA,,,> 4 mg/l,6.5-8.5,,< 3 mg/l,,< 2500 MPN/100ml,< 5000 MPN/100ml,,,,,,,,,,,,,,,,,
1307,CHUNT KOL (MAULANA AZAD BDG),JAMMU & KASHMIR,6,20,14,1.5,4.4,2.6,7.1,7.5,7.3,192,401,253,1,5,3.3,0.29,0.7,0.43,,,,,,
1306,"GAWKADAL, SRG (SHERGHARI, SRG)",JAMMU & KASHMIR,6,19,13,3.9,6.6,5.1,7.2,7.9,7.4,122,442,218,1,3,2.1,0.36,1.57,0.69,,,,,,
1304,JHELAM AT ANANTNAG D/S,JAMMU & KASHMIR,8,14,10,5.8,9.2,6.9,7.4,7.9,7.6,184,294,216,1,4,2.2,0.3,2.35,0.89,,,,,,
3274,JHELUM AT AWANTIPORA,JAMMU & KASHMIR,7,14,11,5.5,9.7,7,7.2,7.8,7.5,144,234,184,1,3,1.7,0.4,2.9,0.91,,,,,,
3275,JHELUM AT PAMPORE,JAMMU & KASHMIR,7,14,10,5.6,8.4,6.6,7.2,7.8,7.5,141,235,182,1,2,1.8,0.5,2.18,1.03,,,,,,
2755,"BANGANGA (BATHING GHAT), KATRA",JAMMU & KASHMIR,10,26,20,6.2,8.5,7.5,7.4,8.2,7.7,280,543,387,2,4,2.8,0.01,0.75,0.26,,,,,,
2756,BANGANGA (IN FRONT OF PONY SHED NEAR REASI BDG) KATRA,JAMMU & KASHMIR,11,28,20,5.4,9,6.6,7.8,8.1,8,320,655,449,2,4.8,3.9,0.01,0.68,0.34,,,,,,
2752,"BASANTER AT SAMBA (BELOW NH-1A BDG), BASANTAR US (R.H.S)",JAMMU & KASHMIR,13,27,21,7.3,9.3,8.7,7.8,8.9,8.2,263,290,280,2.1,3.6,3.1,0.02,0.36,0.12,,,,,,
2753,BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.),JAMMU & KASHMIR,13,27,20,5.2,7.8,7,6.8,7.8,7.5,263,320,294,2.2,8,5.4,0.02,0.59,0.26,,,,,,
2748,CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),JAMMU & KASHMIR,9,18,13,7.2,9.8,8.1,7.2,7.8,7.3,116,255,195,1,2.1,1.3,0.01,0.36,0.17,,,,,,
2749,CHENAB AT BLIND CURVE SHAMSHAN GHAT,JAMMU & KASHMIR,9,18,13,7.4,9.2,8.5,7.1,7.8,7.3,117,251,192,1,1.3,1.1,0.02,0.51,0.26,,,,,,
2750,CHENAB AT CHADRA GAON VIEW POINT,JAMMU & KASHMIR,9,18,13,7.4,9,8.4,7.1,7.8,7.3,118,254,190,1,1,1,0.01,0.41,0.14,,,,,,
2751,CHENAB AT JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR ,JAMMU & KASHMIR,9,19,14,6.3,10,8.3,7.3,8.9,7.8,116,266,197,1.3,8,3.8,0.01,0.87,0.32,,,,,,
2754,DEVAK UDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,JAMMU & KASHMIR,14,31,23,1.8,6.5,5,6.4,7.4,7.1,396,606,485,,,,0.01,0.52,0.2,,,,,,
2757,DEVAK AT UTTERBEHNI,JAMMU & KASHMIR,14,25,20,4.8,6.7,5.8,6.9,7.9,7.4,257,400,337,1,6.3,3,0.01,0.83,0.28,,,,,,
3278,LIDDER NALLAH AT LARIPORA,JAMMU & KASHMIR,6,10,8,7.8,8.7,8.2,7.2,7.8,7.5,92,116,103,0.7,1,0.9,0.25,1.15,0.66,,,,,,
3279,LIDDER NALLAH AT CLUB PARK,JAMMU & KASHMIR,7,11,9,6.9,8.7,8,7.3,7.6,7.4,90,120,107,1,1.3,1.1,0.56,1.15,0.79,,,,,,
3280,LIDDER NALLAH AT BUS ADDA,JAMMU & KASHMIR,8,11,9,7.1,7.2,7.2,7.2,7.8,7.5,102,121,109,1.6,4.6,3.1,0.46,0.98,0.73,,,,,,
3281,"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",JAMMU & KASHMIR,7,11,9,7.1,8,7.4,7.3,7.6,7.5,74,90,81,0.6,1,0.9,0.68,0.99,0.85,,,,,,
3283,SINDH AT SONAMARG U/S,JAMMU & KASHMIR,2,9,5,8.2,8.6,8.4,7.8,8.2,8,147,166,157,0.9,1,1,0.09,0.76,0.35,,,,,,
3284,SINDH AT SONAMARG D/S,JAMMU & KASHMIR,2,9,5,6.7,9,7.5,7.8,8.1,8,159,186,168,1,1.7,1.2,0.04,0.98,0.38,,,,,,
3285,SINDH AT WAIL BRIDGE,JAMMU & KASHMIR,5,11,8,8,9.4,8.5,7.5,8,7.7,116,156,139,0.8,1.7,1.2,0,0.19,0.12,,,,,,
1412,"TAWI AT JAMMU U/S, (TAWI BDG )",JAMMU & KASHMIR,26,26,26,6.5,6.5,6.5,8.5,8.5,8.5,283,283,283,1,1,1,,,,,,,,,
2742,TAWI AT SHETALI LIFTING POINT NAGROTA,JAMMU & KASHMIR,13,26,21,6.4,10.9,8.2,7.6,8.4,7.9,142,267,225,1,1,1,0,0.4,0.11,,,,,,
2743,TAWI AT BAGH-E-BAHU LIFTING POINT,JAMMU & KASHMIR,13,26,21,7.4,9.9,8.4,7.5,8.5,7.9,142,260,221,1,2.2,1.4,0,0.61,0.16,,,,,,
2744,TAWI AT BELOW TAWI BRIDGE,JAMMU & KASHMIR,14,26,22,6.5,10.9,7.8,7.8,8.8,8.3,145,283,237,1,6.5,2.7,0.02,0.81,0.23,,,,,,
2746,TAWI AT BELICHARANA(4KM D/S TAWI BRIDGE),JAMMU & KASHMIR,14,26,22,7.2,9,7.7,8,8.7,8.2,146,273,229,1,3.4,1.9,0.01,0.07,0.04,,,,,,
2747,TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING SITE,JAMMU & KASHMIR,14,26,22,7.1,9.7,8.1,7.6,8,7.8,152,267,224,1,3.6,1.7,0.01,0.18,0.07,,,,,,
2758,"UJH AT DAM SITE(L.H.S.), KATHUA",JAMMU & KASHMIR,13,28,21,8.2,10,9.4,2.5,8.2,6.6,224,290,245,0,1,0.8,0,0.21,0.05,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,,,
WATER QUALITY CRITERIA,,,> 4 mg/l,6.5-8.5,,< 3 mg/l,,< 2500 MPN/100ml,< 5000 MPN/100ml,,,,,,,,,,,,,,,,,
1491,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,8,8,8,8.6,8.6,8.6,8.4,8.4,8.4,94,94,94,,,,,,,,,,,,
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,11,20,16,8.6,11.4,9.7,7.5,8.5,8,132,156,143,0.6,1,0.7,,,,5000,5000,5000,2300,7000,3867
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,12,21,17,8,9.6,8.9,7.4,8.5,8.1,80,94,87,0.4,1.2,4.6,,,,1100,1100,1100,1100,200000,107033
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,11,20,16,8.2,9.6,8.9,7.2,8.5,8,112,145,129,0.8,1,0.9,,,,,,,,,
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,14,18,17,8.4,11.2,9.4,7.4,8.5,8.1,132,140,136,1,1.2,1.1,,,,200000,200000,160000,200000,200000,160000
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,17,19,18,1.2,9.8,7,7.2,8.5,8.1,89,110,99,1.2,1.4,1.3,,,,17000,17000,17000,920,22000,7947
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,15,19,17,8.2,10.4,9,7.3,8.5,7.9,118,142,131,0.6,1.4,1.1,,,,,,,,,
1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,10,22,17,7.8,9.2,8.4,6.8,8.2,7.7,104,158,119,1,1.8,1.3,,,,,,,30,160,82
2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13,28,22,0.6,8,6,7.2,8.8,7.8,214,619,388,1.6,12,6.2,,,,,,,300,1600,1375
1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,15,24,21,6,8.6,7.2,5.9,8.8,7.6,137,230,189,2.4,8.4,5.3,,,,,,,600,1600,1445
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15,24,21,7.2,9.2,7.9,6.8,8.8,7.8,135,202,158,1.4,4.2,2.6,,,,,,,160,500,258
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,13,26,20,7,9.8,8.6,7.2,7.6,7.4,170,260,220,2.8,3.9,3.4,0.13,0.97,0.4,21,1700,920,1000,4800,2125
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,19,7.4,12.5,9.2,7,7.5,7.3,170,314,222,1.8,5.2,3.1,0,0.75,0.26,320,360,352,490,910,662
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,20,7.6,12,9.2,7,7.6,7.4,160,323,230,1.6,5.6,3.2,0,1.06,0.31,350,550,428,700,1000,822
